Title,IMDb rating,Year,MPA rating,Genre,Director,Star Cast,MetaScore,Duration (minutes)
Evita,6.3,1996,PG,Biography,Alan Parker,MadonnaJonathan PryceAntonio Banderas,45.0,135.0
From Dusk Till Dawn,7.2,1996,R,Action,Robert Rodriguez,Harvey KeitelGeorge ClooneyJuliette Lewis,48.0,108.0
Miss Peregrine's Home for Peculiar Children,6.7,2016,PG-13,Adventure,Tim Burton,Eva GreenAsa ButterfieldSamuel L. Jackson,57.0,127.0
Oliver!,7.4,1968,G,Drama,Carol Reed,Mark Lester,74.0,153.0
The Conspiracy of Torture,6.6,1969,R,Drama,Lucio Fulci,Lucio FulciRoberto Gianviti,66.0,84.0
Heaven & Earth,6.8,1993,R,Action,Oliver Stone,Le Ly HayslipJay WurtsJames Hayslip,66.0,140.0
Trigger Warning,7.1,2024,R,Action,Mouly Surya,Jessica AlbaMark WebberAnthony Michael Hall,66.9,116.3
The Call of the Wild,6.7,2020,PG,Adventure,Chris Sanders,Harrison Ford,48.0,100.0
My Favorite Martian,5.1,1999,PG,Comedy,Donald Petrie,Christopher Lloyd,33.0,94.0
The Menu,7.2,2022,R,Comedy,Mark Mylod,Ralph FiennesAnya Taylor-JoyNicholas Hoult,71.0,107.0
Harry Potter and the Deathly Hallows: Part 2,8.1,2011,PG-13,Adventure,David Yates,Daniel RadcliffeEmma WatsonRupert Grint,85.0,130.0
DC League of Super-Pets,7.1,2022,PG,Animation,Jared Stern,Dwayne Johnson,56.0,105.0
Basquiat,6.9,1996,R,Biography,Julian Schnabel,Lech MajewskiJohn BoweJulian Schnabel,65.0,107.0
Never Look Away,7.7,2018,R,Biography,Florian Henckel von Donnersmarck,Tom SchillingSebastian KochPaula Beer,68.0,189.0
Pete's Dragon,6.7,2016,PG,Action,David Lowery,Bryce Dallas Howard,71.0,102.0
The Glenn Miller Story,7.3,1954,Other,Biography,Anthony Mann,James StewartJune AllysonHarry Morgan,66.0,115.0
Robot Taekwon V 3tan! Sujung teukgongdae,5.4,1977,R,Animation,Cheong-gi Kim,Sang-jo ParkIl-cheong HwangSeok-ok Kim,66.0,116.3
Kon-Tiki,7.1,2012,PG-13,Adventure,Joachim Rønning,Pål Sverre HagenAnders BaasmoGustaf Skarsgård,62.0,118.0
The Fighting Devil Dogs,6.4,1943,Other,Adventure,John English,Franklin AdreonRonald DavidsonBarry Shipman,66.0,69.0
The German Doctor,6.7,2013,PG-13,Drama,Lucía Puenzo,Alex BrendemühlDiego PerettiGuillermo Pfening,62.0,93.0
The Railway Children,7.3,1970,G,Drama,Lionel Jeffries,Dinah Sheridan,57.1,109.0
Summer Magic,6.9,1963,G,Comedy,James Neilson,Hayley Mills,57.1,110.0
Bonnie and Clyde,7.7,1967,R,Action,Arthur Penn,Warren BeattyFaye DunawayMichael J. Pollard,86.0,111.0
The Sound of Settling,6.2,2019,R,Comedy,Bryan Ricke,Joni MannTy TrumboMarissa Pistone,66.0,116.3
1 and 0 nly,7.4,2008,R,Drama,Martyn Park,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
Ad Astra,6.5,2019,PG-13,Adventure,James Gray,Brad PittTommy Lee JonesRuth Negga,80.0,123.0
The Little Mermaid,7.2,2023,PG,Adventure,Rob Marshall,Halle Bailey,59.0,135.0
Mad Love,6.5,2001,R,Biography,Vicente Aranda,Pilar López de AyalaDaniele LiottiRosana Pastor,55.0,115.0
Men,6.1,2022,R,Drama,Alex Garland,Jessie BuckleyRory KinnearPaapa Essiedu,65.0,100.0
Fagyott május,5.3,2017,R,Horror,Péter Lichter,Imre BartókRoger DeutschPéter Lichter,66.0,116.3
Fiddler on the Roof,8.0,1971,G,Drama,Norman Jewison,Topol,67.0,181.0
Troop Zero,6.9,2019,PG,Comedy,Bertie Ellwood,Mckenna Grace,58.0,94.0
She Said,7.3,2022,R,Drama,Maria Schrader,Rebecca LenkiewiczJodi KantorMegan Twohey,66.0,129.0
Hilary and Jackie,7.3,1998,R,Biography,Anand Tucker,Emily WatsonRachel GriffithsJames Frain,78.0,121.0
A Breath of Air,5.3,1983,R,Drama,Bozo Sprajc,Draga PotocnjakIvo BanMilena Zupancic,66.0,116.3
Nano-Babies,8.1,1998,R,Documentary,Jürg Hassler,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
The Murri Affair,6.4,1974,R,Crime,Mauro Bolognini,Sergio BazziniMauro BologniniGianfranco Zurlini,66.0,120.0
I Hate Sundays,6.8,2015,R,Crime,Farbod Ardebili,Mayanna BerrinAnthony BonoWilliam Cadena,66.0,116.3
The United States vs. Billie Holiday,6.3,2021,R,Biography,Lee Daniels,Andra DayTrevante RhodesGarrett Hedlund,52.0,126.0
Ice Age,7.5,2002,PG,Animation,Chris Wedge,Michael J. WilsonMichael BergPeter Ackerman,61.0,81.0
Terminal Legacy,6.0,2012,R,Action,Brian Kazmarck,Cuyle CarvinKazy TauginasWhitney Kirk,66.0,116.3
Kagemusha: The Shadow Warrior,7.9,1980,PG,Drama,Akira Kurosawa,Tatsuya NakadaiTsutomu YamazakiKen'ichi Hagiwara,84.0,162.0
Cloudy with a Chance of Meatballs,6.9,2009,PG,Animation,Phil Lord,Anna Faris,66.0,90.0
Princess Mononoke,8.3,1997,PG-13,Animation,Hayao Miyazaki,Hayao MiyazakiNeil Gaiman,76.0,134.0
Tolkien,6.8,2019,PG-13,Biography,Dome Karukoski,Nicholas HoultLily CollinsColm Meaney,48.0,112.0
Cassandro,6.5,2023,R,Biography,Roger Ross Williams,Gael García BernalRoberta ColindrezPerla De La Rosa,76.0,107.0
"I, the Worst of All",7.1,1990,R,Biography,María Luisa Bemberg,Assumpta SernaDominique SandaHéctor Alterio,66.0,105.0
Coach Carter,7.3,2005,PG-13,Biography,Thomas Carter,Samuel L. JacksonRick GonzalezRobert Ri'chard,57.0,136.0
Journey to Bethlehem,6.4,2023,PG,Adventure,Adam Anders,Fiona Palomo,57.1,99.0
Danton,7.4,1983,PG,Biography,Andrzej Wajda,Jean-Claude CarrièreStanislawa PrzybyszewskaAndrzej Wajda,66.0,136.0
Ratatouille,8.1,2007,G,Animation,Brad Bird,Brad BirdJan PinkavaJim Capobianco,96.0,111.0
The Bear Tales,5.0,2015,R,Adventure,Olmo Amato,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
Fairie,6.7,2002,R,Sci-Fi,Willo Hausman,Jack WallaceEd GaleRichard Parent,66.0,116.3
Batman: Mask of the Phantasm,7.8,1993,PG,Animation,Kevin Altieri,Kevin AltieriBoyd KirklandFrank Paur,65.0,76.0
Tom & Jerry,5.3,2021,PG,Animation,Tim Story,Chloë Grace Moretz,32.0,101.0
Clash of the Titans,6.9,1981,PG,Action,Desmond Davis,Laurence Olivier,59.0,118.0
Hitler: The Last Ten Days,6.5,1973,PG,Biography,Ennio De Concini,Ivan MoffatGerhardt BoldtEnnio De Concini,66.0,108.0
Scooby-Doo 2: Monsters Unleashed,5.2,2004,PG,Adventure,Raja Gosnell,Freddie Prinze Jr.,34.0,93.0
6 Desires: DH Lawrence and Sardinia,6.8,2014,G,Documentary,Mark Cousins,Daniel RadcliffeEmma WatsonRupert Grint,66.0,85.0
Rob the Mob,6.3,2014,R,Biography,Raymond De Felitta,Michael PittNina AriandaAndy Garcia,63.0,104.0
I Can Only Imagine,7.3,2018,PG,Biography,Andrew Erwin,Bart MillardJon ErwinBrent McCorkle,30.0,110.0
Lucie Aubrac,6.6,1997,R,Biography,Claude Berri,Carole BouquetDaniel AuteuilPatrice Chéreau,61.0,115.0
Because of Winn-Dixie,6.4,2005,PG,Comedy,Wayne Wang,AnnaSophia Robb,54.0,106.0
Cabeza de Vaca,6.9,1991,R,Adventure,Nicolás Echevarría,Nicolás EchevarríaAlvar Nunez Cabeza de VacaXavier Robles,66.0,111.0
Wolf Children,8.1,2012,PG,Animation,Mamoru Hosoda,Aoi Miyazaki,71.0,117.0
Pokémon the Movie 2000,6.1,1999,G,Animation,Kunihiko Yuyama,Veronica Taylor,28.0,99.0
RE-BECCA,6.7,2020,R,Sci-Fi,Goran Seiller,Clément ChevalierGoran SeillerThifaine Dewaele,66.0,116.3
Cars,7.2,2006,G,Animation,John Lasseter,Owen Wilson,73.0,116.0
Battle of the Sexes,6.7,2017,PG-13,Biography,Jonathan Dayton,Emma StoneSteve CarellAndrea Riseborough,73.0,121.0
Virginia Creepers: The Horror Host Tradition of the Old Dominion,7.5,2009,R,Documentary,Sean Kotz,Mister LoboRoger BarrMark Bartholomew,66.0,116.3
Where the Buffalo Roam,6.5,1980,R,Biography,Art Linson,Peter BoyleBill MurrayBruno Kirby,66.0,99.0
Lakota Nation vs. United States,7.9,2022,PG-13,Documentary,Jesse Short Bull,Benjamin HedinPhil PintoJesse Short Bull,85.0,120.0
The Hoax,6.7,2006,R,Biography,Lasse Hallström,Richard GereAlfred MolinaDavid Aaron Baker,70.0,116.0
All of Us Strangers,7.7,2023,R,Drama,Andrew Haigh,Andrew ScottPaul MescalCarter John Grout,90.0,105.0
The Jungle Book 2,5.3,2003,G,Animation,Steve Trenbirth,John Goodman,38.0,72.0
"Paul, Apostle of Christ",6.6,2018,PG-13,Adventure,Andrew Hyatt,Jim CaviezelJames FaulknerOlivier Martinez,52.0,108.0
Green Eyes for Anastice,7.2,2004,R,Sci-Fi,Michael R. Steinbeck,Nicholas P. RichardsSamantha PorpsTom Porps,66.0,116.3
Genius,6.5,2016,PG-13,Biography,Michael Grandage,Colin FirthJude LawNicole Kidman,56.0,104.0
The Return of the Living Dead,7.3,1985,R,Comedy,Dan O'Bannon,Rudy RicciJohn A. RussoRussell Streiner,66.0,91.0
Strelyayushchiye angely,6.1,1994,R,Sci-Fi,Vladimir Shteryanov,Zlatina FenerdzhiyevaAlexander FriedrichsonVladimir Shteryanov,66.0,116.3
Alaska,5.7,1996,PG,Adventure,Fraser C. Heston,Thora Birch,57.1,109.0
The Battle of the Sexes,6.9,2013,PG-13,Documentary,James Erskine,Billie Jean KingVirginia WadeLornie Kuhle,66.0,83.0
101 Dalmatians,5.7,1996,G,Adventure,Stephen Herek,Glenn Close,50.0,103.0
The Unbearable Weight of Massive Talent,7.0,2022,R,Action,Tom Gormican,Nicolas CagePedro PascalTiffany Haddish,68.0,107.0
Good Burger 2,5.3,2023,Other,Comedy,Phil Traill,Kel Mitchell,48.0,90.0
The Lighthouse,7.4,2019,R,Drama,Robert Eggers,Robert PattinsonWillem DafoeValeriia Karaman,83.0,109.0
Mask,7.2,1985,PG-13,Biography,Peter Bogdanovich,CherEric StoltzSam Elliott,73.0,120.0
Hi Nanna,8.2,2023,PG,Drama,Shouryuv,Nani,57.1,100.0
Three Men and a Baby,6.1,1987,PG,Comedy,Leonard Nimoy,Tom Selleck,61.0,102.0
Le troisième cri,7.1,1974,R,Drama,Igaal Niddam,Jacques DenisLeyla AubertChristine Fersen,66.0,116.3
Disenchanted,5.6,2022,PG,Animation,Adam Shankman,Amy Adams,50.0,119.0
Confinement,5.1,2005,R,Action,David Lee Stewart,David Lee StewartBette CassattDemetrius Parker,66.0,116.3
Endjährig,6.6,2020,R,Sci-Fi,Willi Kubica,Matthias LierPeter MeinhardtMina Sadic,66.0,116.3
Blueback,5.9,2022,PG,Drama,Robert Connolly,Mia Wasikowska,59.0,102.0
Turbo,6.4,2013,PG,Animation,David Soren,Ryan Reynolds,58.0,96.0
Asterix & Obelix: Mission Cleopatra,6.7,2002,PG,Adventure,Alain Chabat,Gérard Depardieu,57.1,107.0
Storks,6.8,2016,PG,Animation,Nicholas Stoller,Andy Samberg,56.0,87.0
The Whip Hand,6.0,1951,Other,Action,William Cameron Menzies,George BrickerFrank L. MossRoy Hamilton,66.0,82.0
The Battle of Neretva,7.0,1969,G,Drama,Veljko Bulajic,Stevan BulajicRatko DjurovicVeljko Bulajic,66.0,105.0
Snow Flower and the Secret Fan,6.1,2011,PG-13,Drama,Wayne Wang,Angela WorkmanRon BassMichael Ray,42.0,120.0
Zombies 3,5.4,2022,Other,Drama,Paul Hoen,Milo Manheim,57.1,88.0
Flight of the Navigator,6.9,1986,PG,Adventure,Randal Kleiser,Joey Cramer,64.0,90.0
Miles Ahead,6.4,2015,R,Biography,Don Cheadle,Steven BaigelmanDon CheadleStephen J. Rivele,64.0,100.0
Harvest Moon,7.3,2013,R,Adventure,Kai-Jae Wang,Rachel DelanteKai-Jae Wang,66.0,116.3
A Quiet Passion,6.4,2016,PG-13,Biography,Terence Davies,Emma BellSara VertongenRose Williams,78.0,125.0
Animal,6.2,2023,Not Rated,Action,Sandeep Reddy Vanga,Suresh BandaruSaurabh GuptaPranay Reddy Vanga,33.0,204.0
Widow of St. Pierre,7.1,2000,R,Drama,Patrice Leconte,Juliette BinocheDaniel AuteuilEmir Kusturica,73.0,112.0
Vrem,8.1,2015,R,Comedy,James Noel,Paul AmorenoCheyenne BerryPaul Berry,66.0,116.3
Valkyrie,7.1,2008,PG-13,Drama,Bryan Singer,Tom CruiseBill NighyCarice van Houten,56.0,121.0
Avengers: Reassembled,6.7,2018,R,Sci-Fi,Trevor Jean Volentine,Sam WrightBenjamin PaperAlexander Vogl,66.0,116.3
Tsena doveriya,5.8,2024,R,Drama,Maksim Kuts,Andrey BakharevAleksandr BandurinSergey Belanov,66.0,116.3
Public Axis 3000,7.8,2019,R,Comedy,Jeffrey Lange,Jeffrey LangeB.J. ColangeloTyler Grano,66.0,116.3
Max Keeble's Big Move,5.4,2001,PG,Comedy,Tim Hill,Alex D. Linz,40.0,86.0
In Cold Blood,7.9,1967,R,Biography,Richard Brooks,Robert BlakeScott WilsonJohn Forsythe,89.0,134.0
A Whisker Away,6.7,2020,Other,Animation,Jun'ichi Satô,Mirai Shida,57.1,104.0
Boat Squad: The Legend of Martha King,5.5,2018,R,Action,Matt Greenhalgh,Matt Greenhalgh,66.0,116.3
Dungeons & Dragons: Honor Among Thieves,7.2,2023,PG-13,Action,John Francis Daley,Jonathan GoldsteinJohn Francis DaleyMichael Gilio,72.0,134.0
City Hunter,6.3,2024,Other,Action,Yûichi Satô,Ryohei SuzukiMisato MoritaMasanobu Andô,66.0,102.0
Beethoven's 2nd,5.0,1993,PG,Comedy,Rod Daniel,Charles Grodin,57.1,89.0
Extinct,5.5,2021,Other,Animation,David Silverman,Adam Devine,57.1,84.0
Happy Death Day,6.6,2017,PG-13,Comedy,Christopher Landon,Jessica RotheIsrael BroussardRuby Modine,58.0,96.0
Harry Potter and the Deathly Hallows: Part 2,8.1,2011,PG-13,Adventure,David Yates,Daniel Radcliffe,85.0,130.0
The Ice Age Adventures of Buck Wild,4.3,2022,PG,Animation,Marshall Fels Elliott,Utkarsh Ambudkar,30.0,82.0
One Day in September,7.8,1999,R,Documentary,Kevin Macdonald,Michael DouglasAnkie SpitzerJamal Al Gashey,82.0,94.0
"Earth and Space Peace, Moona History 1",6.1,2010,Not Rated,Action,Roland Jackson,Roland Jackson,66.0,73.0
Mr. Holmes,6.8,2015,PG,Crime,Bill Condon,Ian McKellen,67.0,104.0
Crumb,8.0,1994,R,Documentary,Terry Zwigoff,Robert CrumbAline Kominsky-CrumbCharles Crumb,93.0,119.0
Shark Tale,6.0,2004,PG,Animation,Bibo Bergeron,Will Smith,48.0,90.0
Personal Space Invader,7.2,2013,R,Comedy,Adam Thorn,Bob BlaschukStacie AntiptchoukKaitlyn Broad,66.0,116.3
Quantum of Solace,6.5,2008,PG-13,Action,Marc Forster,Daniel CraigOlga KurylenkoMathieu Amalric,58.0,106.0
The Last King of Scotland,7.6,2006,R,Biography,Kevin Macdonald,Peter MorganJeremy BrockGiles Foden,74.0,123.0
Searching for Bobby Fischer,7.4,1993,PG,Biography,Steven Zaillian,Joe MantegnaBen KingsleyMax Pomeranc,89.0,109.0
Rogue Trader,6.4,1999,R,Crime,James Dearden,Ewan McGregorAnna FrielCristian Solimeno,66.0,101.0
Family Camp,4.9,2022,PG,Comedy,Brian Cates,Tommy Woodard,57.1,111.0
The Land Before Time,7.4,1988,G,Animation,Don Bluth,Pat Hingle,66.0,69.0
Paws of Fury: The Legend of Hank,5.7,2022,PG,Animation,Chris Bailey,Michael Cera,45.0,98.0
Edward Scissorhands,7.9,1990,PG-13,Drama,Tim Burton,Tim BurtonCaroline Thompson,74.0,105.0
Arkki,6.9,2019,R,Sci-Fi,Paavo Ylämäki,Malla EiraElisa AuvinenMarina Mustonen,66.0,116.3
The Little Mermaid,7.2,2023,PG,Adventure,Rob Marshall,David MageeHans Christian AndersenJohn Musker,59.0,135.0
Still: A Michael J. Fox Movie,8.1,2023,R,Documentary,Davis Guggenheim,Michael J. FoxDavis GuggenheimTracy Pollan,78.0,95.0
El vivo retrato,6.5,1986,R,Sci-Fi,Mario Menéndez,Mario MenéndezFran VaqueroFrancisco G. Orejas,66.0,116.3
The Wild Thornberrys,5.6,2002,PG,Animation,Cathy Malkasian,Tim Curry,69.0,85.0
Hachi: A Dog's Tale,8.1,2009,G,Biography,Lasse Hallström,Richard Gere,57.1,93.0
Aliens,8.4,1986,R,Action,James Cameron,James CameronDavid GilerWalter Hill,84.0,137.0
Jackie,6.7,2016,R,Biography,Pablo Larraín,Natalie PortmanPeter SarsgaardGreta Gerwig,81.0,100.0
Lifemark,6.1,2022,PG-13,Biography,Kevin Peeples,Kirk CameronAlex KendrickMarisa Lynae Hampton,66.0,105.0
Mobile Suit Gundam: The Origin I - Blue-Eyed Casval,7.5,2015,Not Rated,Animation,Kiyoshi Egami,Kiyoshi EgamiNana HaradaTakashi Imanishi,66.0,64.0
Ridicule,7.3,1996,R,Comedy,Patrice Leconte,Rémi WaterhouseMichel FesslerEric Vicaut,80.0,102.0
The Muppets,7.1,2011,PG,Adventure,James Bobin,Amy Adams,75.0,103.0
Centralia: Pennsylvania's Lost Town,8.4,2017,PG,Documentary,Joe Sapienza,Don BaileyJack CarlingColleen Coddington,66.0,90.0
The Little Mermaid,7.6,1989,G,Animation,Ron Clements,Jodi Benson,88.0,83.0
Bolt,6.8,2008,PG,Animation,Byron Howard,John Travolta,67.0,96.0
The Paralyzing Agent,6.2,2009,R,Drama,Gene Greenlees,Michael AndersonPatrick BarrilleauxCarlie Bass,66.0,116.3
Cocaine Cowboys,7.7,2006,R,Documentary,Billy Corben,Jon RobertsAl SunshineSam Burstyn,59.0,118.0
The Addams Family 2,5.4,2021,PG,Animation,Conrad Vernon,Oscar Isaac,37.0,93.0
Escape to Witch Mountain,6.3,1975,G,Adventure,John Hough,Eddie AlbertRay MillandDonald Pleasence,60.0,97.0
The Lives of Others,8.4,2006,R,Drama,Florian Henckel von Donnersmarck,Ulrich MüheMartina GedeckSebastian Koch,89.0,137.0
Le futur aux trousses,5.4,1975,R,Comedy,Dolorès Grassian,Bernard FressonClaude RichAndréa Ferréol,66.0,116.3
Apocalypse Now,8.4,1979,R,Drama,Francis Ford Coppola,John MiliusFrancis Ford CoppolaMichael Herr,94.0,147.0
Alice and the Last Lottery,5.5,2017,R,Drama,Jacek Fuchs,Rahel KapsaskiRoss HeathShireen Ashton,66.0,116.3
Labyrinth,7.3,1986,PG,Adventure,Jim Henson,David Bowie,50.0,101.0
6 Days,6.2,2017,R,Action,Toa Fraser,Jamie BellMark StrongAbbie Cornish,36.0,94.0
Leo,7.0,2023,PG,Animation,Robert Marianetti,Adam Sandler,65.0,102.0
The New Mutants,5.3,2020,PG-13,Action,Josh Boone,Maisie WilliamsAnya Taylor-JoyCharlie Heaton,43.0,94.0
Abbott and Costello Meet Frankenstein,7.3,1948,Other,Comedy,Charles Barton,Bud Abbott,69.0,83.0
The Return of the Loch Ness Monster from Outer Space,7.5,2012,R,Action,Stanislov Stanislovski,Stanislov Stanislovski,66.0,116.3
Legend,6.9,2015,R,Biography,Brian Helgeland,Tom HardyEmily BrowningTaron Egerton,55.0,132.0
Time-Men,5.6,2009,Not Rated,Sci-Fi,Mark Gumbinger,Ramon FloresSteve NeahousElizabeth Moore,66.0,86.0
Evolution Creek,5.6,2012,R,Adventure,Lee Bivens,Joshua AdrianChristina AshleighTimothy Batten,66.0,116.3
Burke and Hare,6.1,2010,R,Comedy,John Landis,Bill BaileyTom WilkinsonMichael Smiley,46.0,91.0
Dead Grid,8.6,2017,R,Action,Seth Marrotte,Jamie FarnsworthJeremy FarnsworthSpencer Dixon,66.0,116.3
Toy Story 2,7.9,1999,G,Animation,John Lasseter,Tom Hanks,88.0,92.0
Matilda,7.0,1996,PG,Comedy,Danny DeVito,Danny DeVito,72.0,102.0
Planet 51,6.0,2009,PG,Animation,Jorge Blanco,Dwayne Johnson,39.0,91.0
The Devils,7.8,1971,R,Biography,Ken Russell,Vanessa RedgraveOliver ReedDudley Sutton,49.0,111.0
The Northman,7.0,2022,R,Action,Robert Eggers,Alexander SkarsgårdNicole KidmanClaes Bang,82.0,137.0
So Bianca,5.2,1990,R,Animation,Ridley Scott,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
Fight Club,8.8,1999,R,Drama,David Fincher,Brad PittEdward NortonMeat Loaf,67.0,139.0
Citizenfour,8.0,2014,R,Documentary,Laura Poitras,Edward SnowdenGlenn GreenwaldWilliam Binney,88.0,114.0
The Assault,7.2,1986,PG,Drama,Fons Rademakers,Derek de LintMarc van UchelenMonique van de Ven,66.0,144.0
City of Lies,6.5,2018,R,Biography,Brad Furman,Johnny DeppForest WhitakerToby Huss,44.0,112.0
Soul Surfer,7.0,2011,PG,Biography,Sean McNamara,Sean McNamaraDeborah SchwartzDouglas Schwartz,53.0,112.0
Lonely Hearts,6.4,2006,R,Biography,Todd Robinson,John TravoltaSalma HayekJared Leto,60.0,108.0
The Dead Speak,6.2,1935,R,Drama,Gabriel Soria,Julián SolerAmelia de IlisaManuel Noriega,66.0,116.3
Rub Love,6.5,1998,R,Romance,Suh-Goon Lee,Pang Eun-jinAhn Jae-wookJoshua Klausner,66.0,116.3
Treasure Island,6.9,1950,PG,Adventure,Byron Haskin,Bobby Driscoll,89.0,96.0
Constantine 2,6.9,2005,R,Action,Francis Lawrence,Steve BissetteJamie DelanoAkiva Goldsman,66.0,116.3
Trolls Band Together,6.0,2023,PG,Animation,Walt Dohrn,Anna KendrickJustin TimberlakeKenan Thompson,53.0,91.0
Marshall,7.3,2017,PG-13,Biography,Reginald Hudlin,Chadwick BosemanJosh GadKate Hudson,66.0,118.0
Chip 'n Dale: Rescue Rangers,7.0,2022,PG,Animation,Akiva Schaffer,Andy Samberg,66.0,97.0
In Dubious Battle,6.0,2016,R,Crime,James Franco,Nat WolffJames FrancoVincent D'Onofrio,43.0,110.0
Flyboys,6.5,2006,PG-13,Action,Tony Bill,Phil SearsBlake T. EvansDavid S. Ward,47.0,140.0
A Taste of Kiss,8.0,2011,R,Drama,Ippei Nishihara,Tadafumi AndoKazuya HayashiMasana Hirabuki,66.0,116.3
Man on Wire,7.7,2008,PG-13,Documentary,James Marsh,Philippe PetitJean François HeckelJean-Louis Blondeau,89.0,94.0
Ready Player One,7.4,2018,PG-13,Action,Steven Spielberg,Zak PennErnest Cline,64.0,140.0
Fantastic Beasts: The Crimes of Grindelwald,6.5,2018,PG-13,Adventure,David Yates,Eddie Redmayne,52.0,134.0
The Physician,7.2,2013,R,Adventure,Philipp Stölzl,Noah GordonJan BergerPhilipp Stölzl,66.0,155.0
The World in the Year 2000,6.9,1972,R,Sci-Fi,Ahmad Fuad,Seif AbdelrahmanAhmad AddasAbdessalam Al-Tayeb,66.0,116.3
Coco,8.4,2017,PG,Animation,Lee Unkrich,Anthony Gonzalez,81.0,105.0
Ein Leben auf Probe,6.3,2010,R,Sci-Fi,David Emmenlauer,Alexander BeyerJanin UllmannEva Kruijssen,66.0,116.3
Fantasia 2000,7.1,1999,G,Animation,James Algar,James Levine,59.0,75.0
A Murder in the Park,7.3,2014,PG-13,Documentary,Shawn Rech,Dexter HammettJoseph AlexJason Patrick,70.0,91.0
Jesus Christ Superstar,7.4,1973,G,Drama,Norman Jewison,Ted NeeleyCarl AndersonYvonne Elliman,64.0,106.0
The Cat Returns,7.1,2002,G,Animation,Hiroyuki Morita,Chizuru Ikewaki,70.0,75.0
The World's Fastest Indian,7.8,2005,PG-13,Biography,Roger Donaldson,Anthony HopkinsDiane LaddIain Rea,68.0,127.0
Pee-wee's Big Adventure,7.0,1985,PG,Adventure,Tim Burton,Paul Reubens,47.0,91.0
The Chipmunk Adventure,7.2,1987,G,Animation,Janice Karman,Ross Bagdasarian Jr.,57.1,77.0
Capitalism: A Love Story,7.4,2009,R,Documentary,Michael Moore,Michael MooreWilliam BlackJimmy Carter,61.0,127.0
Fluffy Marky: Vol 1,8.4,2016,R,Drama,Benoit Lach,Sylvio ArchambaultMarie-Ève BeauregardSandrine Bisson,66.0,116.3
Malcolm X,7.7,1992,PG-13,Biography,Spike Lee,Arnold PerlSpike LeeAlex Haley,73.0,202.0
The 13th Warrior,6.6,1999,R,Action,John McTiernan,Antonio BanderasDiane VenoraDennis Storhøi,42.0,102.0
Wu zui zhi cheng,6.6,2017,R,Drama,Chenyang Yin,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
For No Good Reason,7.0,2012,R,Documentary,Charlie Paul,Ralph SteadmanJohnny DeppHunter S. Thompson,56.0,89.0
The Goonies,7.7,1985,PG,Adventure,Richard Donner,Sean AstinJosh BrolinJeff Cohen,62.0,114.0
"Miraculous: Ladybug & Cat Noir, the Movie",6.1,2023,PG,Animation,Jeremy Zag,Annouck Hautbois,57.1,105.0
Luca,7.4,2021,PG,Animation,Enrico Casarosa,Jacob Tremblay,71.0,95.0
"Electric Boogaloo: The Wild, Untold Story of Cannon Films",7.4,2014,R,Documentary,Mark Hartley,Sam FirstenbergDavid PaulsenLuigi Cozzi,66.0,106.0
Al-Ghazali: The Alchemist of Happiness,7.2,2004,PG,History,Abdul Latif Salazar,Dariush ArjmandMitra HajjarGhorban Najafi,66.0,80.0
The Devil's Advocate,7.5,1997,R,Drama,Taylor Hackford,Keanu ReevesAl PacinoCharlize Theron,60.0,144.0
Who Framed Roger Rabbit,7.7,1988,PG,Animation,Robert Zemeckis,Bob Hoskins,83.0,104.0
Richard III,7.3,1995,R,Drama,Richard Loncraine,Ian McKellenRichard LoncraineRichard Eyre,86.0,110.0
Tomica Hero: Rescue Force Explosive Movie: Rescue the Mach Train!,7.4,2008,R,Action,Itaru Era,CaminoHiroshi FujiokaGen,66.0,116.3
Behind the Lines,7.0,1997,R,Biography,Gillies MacKinnon,Jonathan PryceJames WilbyJonny Lee Miller,66.0,96.0
The Pagemaster,6.1,1994,G,Animation,Pixote Hunt,Macaulay Culkin,57.1,80.0
The Diamonds of Metro Valley,7.2,2010,R,Action,Aaron Arendt,Jordan EnderJon CohnRobert Poe,66.0,116.3
Telepathic Telephones,6.7,2014,R,Comedy,Tom Zarzecki,Tom ZarzeckiPaul LiedelCrispin Rosenkranz,66.0,116.3
We Are All Cylons,7.9,2011,R,Documentary,Ilana Rein,David ChiricoMichael HoganLacy Alexis Pline,66.0,116.3
Francesco,6.3,1989,PG-13,Biography,Liliana Cavani,Liliana CavaniRoberta Mazzoni,66.0,119.0
Snow Day,5.2,2000,PG,Adventure,Chris Koch,Chevy Chase,34.0,89.0
Nim's Island,6.0,2008,PG,Adventure,Jennifer Flackett,Jodie Foster,55.0,96.0
Mark Felt: The Man Who Brought Down the White House,6.4,2017,PG-13,Biography,Peter Landesman,Liam NeesonDiane LaneMarton Csokas,49.0,103.0
Thunderstruck,5.1,2012,PG,Comedy,John Whitesell,Kevin Durant,57.1,94.0
The Green Mile,8.6,1999,R,Crime,Frank Darabont,Tom HanksMichael Clarke DuncanDavid Morse,61.0,189.0
Fur: An Imaginary Portrait of Diane Arbus,6.3,2006,R,Biography,Steven Shainberg,Nicole KidmanRobert Downey Jr.Ty Burrell,50.0,122.0
